name,lng,lat,region
Santiago,-70.6666667,-33.4500000,Metropolitana
Cerro Navia,-70.7166667,-33.4166667,Metropolitana
El Bosque,-70.7000000,-33.5666667,Metropolitana
Huechuraba,-70.6666667,-33.3500000,Metropolitana
La Cisterna,-70.6833333,-33.5500000,Metropolitana
La Granja,-70.5833333,-33.5833333,Metropolitana
La Reina,-70.5500000,-33.4500000,Metropolitana
Chiloe,-73.8947,-42.6222,Los Lagos
Lo Barnechea,-70.5166667,-33.3500000,Metropolitana
Lo Prado,-70.7166667,-33.4333333,Metropolitana
Maipu,-70.7666667,-33.5166667,Metropolitana
Pedro Aguirre Cerda,-70.6780860,-33.4924550,Metropolitana
Providencia,-70.6166667,-33.4333333,Metropolitana
Quilicura,-70.7500000,-33.3666667,Metropolitana
Recoleta,-33.4081480,-70.6391920,Metropolitana
San Joaquin,-70.6166667,-33.5000000,Metropolitana
San Ramon,-70.5000000,-33.4500000,Metropolitana
Puente Alto,-70.5833333,-33.6166667,Metropolitana
Padre Hurtado,-70.8333333,-33.5666667,Metropolitana
El Monte,-71.0166667,-33.6833333,Metropolitana
San Pedro,-71.4666667,-33.9000000,Metropolitana
Curacavi,-71.1500000,-33.4000000,Metropolitana
Melipilla,-71.2166667,-33.7000000,Metropolitana
Calera de Tango,-70.8166667,-33.6500000,Metropolitana
San Bernardo,-70.7166667,-33.6000000,Metropolitana
Lampa,-70.9000000,-33.2833333,Metropolitana
San Jose de Maipo,-70.3666667,-33.6333333,Metropolitana
Peñaflor,-70.9166667,-33.6166667,Metropolitana
Isla de Maipo,-70.9000000,-33.7500000,Metropolitana
Talagante,-70.9333333,-33.6666667,Metropolitana
Maria Pinto,-71.1333333,-33.5333333,Metropolitana
Paine,-70.7500000,-33.8166667,Metropolitana
Buin,-70.7500000,-33.7333333,Metropolitana
Til til,-70.9333333,-33.0833333,Metropolitana
Colina,-70.6833333,-33.2000000,Metropolitana
Pirque,-70.5500000,-33.6333333,Metropolitana
Vitacura,-70.6000000,-33.4000000,Metropolitana
San Miguel,-70.6666667,-33.5000000,Metropolitana
Renca,-70.7333333,-33.4000000,Metropolitana
Quinta Normal,-70.7000000,-33.4500000,Metropolitana
Pudahuel,-70.7166667,-33.4333333,Metropolitana
Peñalolen,-70.5333333,-33.4833333,Metropolitana
Ñuñoa,-70.6000000,-33.4666667,Metropolitana
Macul,-70.5666667,-33.5000000,Metropolitana
Lo Espejo,-70.7166667,-33.5333333,Metropolitana
Las Condes,-70.5833333,-33.4166667,Metropolitana
La Pintana,-70.6166667,-33.5833333,Metropolitana
La Florida,-70.5666667,-33.5500000,Metropolitana
Independencia,-70.6549320,-33.4219880,Metropolitana
Estacion Central,-70.7029760,-33.4633150,Metropolitana
Conchali,-70.6166667,-33.3500000,Metropolitana
Cerrillos,-70.7000000,-33.4833333,Metropolitana
Arica,-70.3144444,-18.4750000,Arica y Parinacota
Camarones,-69.8666667,-19.0166667,Arica y Parinacota
Putre,-69.5977778,-18.1916667,Arica y Parinacota
General Lagos,-69.5000000,-17.5666667,Arica y Parinacota
Iquique,-70.1666667,-20.2166667,Tarapaca
Alto Hospicio,-70.1166667,-20.2500000,Tarapaca
Pozo Almonte,-69.7833333,-20.2666667,Tarapaca
Camiña,-69.4166667,-19.3000000,Tarapaca
Colchane,-68.6166667,-19.2666667,Tarapaca
Huara,-69.7666667,-19.9666667,Tarapaca
Pica,-69.3333333,-20.5000000,Tarapaca
Antofagasta,-70.4000000,-23.6333333,Antofagasta
Mejillones,-70.4500000,-23.1000000,Antofagasta
Sierra Gorda,-69.3166667,-22.8833333,Antofagasta
Taltal,-69.7666667,-25.2833333,Antofagasta
Calama,-68.9166667,-22.4666667,Antofagasta
Ollagüe,-68.2666667,-21.2166667,Antofagasta
San Pedro de Atacama,-68.2166667,-22.9166667,Antofagasta
Maria Elena,-69.6666667,-22.3500000,Antofagasta
Tocopilla,-70.2000000,-22.0666667,Antofagasta
Copiapo,-70.3166667,-27.3666667,Atacama
Caldera,-70.8166667,-27.0666667,Atacama
Tierra Amarilla,-70.2666667,-27.4666667,Atacama
Chañaral,-70.6000000,-26.3333333,Atacama
Diego de Almagro,-70.0500000,-26.3666667,Atacama
Vallenar,-70.7500000,-28.5666667,Atacama
Alto del Carmen,-70.4622222,-28.9336111,Atacama
Freirina,-71.0666667,-28.5000000,Atacama
Huasco,-71.2166667,-28.4500000,Atacama
Rio Hurtado,-70.7000000,-30.2666667,Coquimbo
Monte Patria,-70.9333333,-30.6833333,Coquimbo
Ovalle,-71.2000000,-30.5833333,Coquimbo
Los Vilos,-71.5166667,-31.9000000,Coquimbo
Illapel,-71.1500000,-31.6166667,Coquimbo
Paihuano,-70.5166667,-30.0166667,Coquimbo
Andacollo,-71.0833333,-30.2166667,Coquimbo
La Serena,-71.2500000,-29.9000000,Coquimbo
Punitaqui,-71.2666667,-30.9000000,Coquimbo
Combarbala,-71.0500000,-31.1666667,Coquimbo
Salamanca,-70.9666667,-31.7666667,Coquimbo
Canela,-71.4500000,-31.4000000,Coquimbo
Vicuña,-70.7000000,-30.0166667,Coquimbo
La Higuera,-71.2666667,-29.5000000,Coquimbo
Coquimbo,-71.3333333,-29.9500000,Coquimbo
Valparaiso,-71.6163889,-33.0458333,Valparaiso
Concon,-71.5166667,-32.9166667,Valparaiso
Puchuncavi,-71.4166667,-32.7333333,Valparaiso
Los Andes,-70.6166667,-32.8166667,Valparaiso
Viña del Mar,-71.5333333,-33.0333333,Valparaiso
Rinconada,-70.7000000,-32.8333333,Valparaiso
La Ligua,-71.2166667,-32.4500000,Valparaiso
Papudo,-71.4500000,-32.5166667,Valparaiso
Zapallar,-71.4666667,-32.5333333,Valparaiso
La Calera,-71.2166667,-32.7833333,Valparaiso
San Antonio,-71.6166667,-33.6000000,Valparaiso
Cartagena,-71.6000000,-33.5500000,Valparaiso
El Tabo,-71.6666667,-33.4500000,Valparaiso
San Felipe,-70.7333333,-32.7500000,Valparaiso
Llaillay,-70.9666667,-32.8500000,Valparaiso
La Cruz,-71.2333333,-32.8166667,Valparaiso
Villa Alemana,-71.3666667,-33.0500000,Valparaiso
Limache,-71.2833333,-32.9833333,Valparaiso
Putaendo,-70.7333333,-32.6333333,Valparaiso
Olmue,-71.2000000,-33.0000000,Valparaiso
Quilpue,-71.4500000,-33.0500000,Valparaiso
Santa Maria,-70.6666667,-32.7500000,Valparaiso
Panquehue,-70.8333333,-32.8000000,Valparaiso
Catemu,-71.0333333,-32.6333333,Valparaiso
Santo Domingo,-71.6500000,-33.6333333,Valparaiso
El Quisco,-71.7000000,-33.4000000,Valparaiso
Algarrobo,-71.6927778,-33.3911111,Valparaiso
Nogales,-71.2333333,-32.7166667,Valparaiso
Hijuelas,-71.1666667,-32.8000000,Valparaiso
Quillota,-71.2666667,-32.8833333,Valparaiso
Petorca,-70.9333333,-32.2500000,Valparaiso
Cabildo,-71.1333333,-32.4166667,Valparaiso
San Esteban,-70.5833333,-32.8000000,Valparaiso
Calle Larga,-70.6333333,-32.8500000,Valparaiso
Isla de Pascua,-109.3750000,-27.0833333,Valparaiso
Quintero,-71.5333333,-32.7833333,Valparaiso
Isla Juan Fernandez,-78.8666667,-33.6166667,Valparaiso
Casablanca,-71.4166667,-33.3166667,Valparaiso
Rancagua,-70.7397222,-34.1652778,O'Higgins
Coinco,-70.9666667,-34.2666667,O'Higgins
Doñihue,-70.9666667,-34.2333333,O'Higgins
Las Cabras,-71.3166667,-34.3000000,O'Higgins
Malloa,-70.9500000,-34.4500000,O'Higgins
Olivar,-70.8175000,-34.2100000,O'Higgins
San Vicente,-71.1333333,-34.5000000,O'Higgins
Marchihue,-71.6333333,-34.4000000,O'Higgins
Paredones,-71.1666667,-34.7833333,O'Higgins
Chepica,-71.2833333,-34.7333333,O'Higgins
Lolol,-71.6447222,-34.7286111,O'Higgins
Palmilla,-71.3666667,-34.6000000,O'Higgins
Santa Cruz,-71.3666667,-34.6333333,O'Higgins
Placilla,-71.1166667,-34.6333333,O'Higgins
La Estrella,-71.6666667,-34.2000000,O'Higgins
Rengo,-70.8666667,-34.4166667,O'Higgins
Pichidegua,-71.3000000,-34.3500000,O'Higgins
Pumanque,-71.6666667,-34.6000000,O'Higgins
Peralillo,-71.4833333,-34.4833333,O'Higgins
Nancagua,-71.2166667,-34.6666667,O'Higgins
Chimbarongo,-71.0500000,-34.7000000,O'Higgins
San Fernando,-70.9666667,-34.5833333,O'Higgins
Navidad,-71.8333333,-33.9333333,O'Higgins
Litueche,-71.7333333,-34.1166667,O'Higgins
Pichilemu,-72.0000000,-34.3833333,O'Higgins
Requinoa,-70.8333333,-34.2833333,O'Higgins
Quinta de Tilcoco,-70.9833333,-34.3500000,O'Higgins
Peumo,-71.1666667,-34.4000000,O'Higgins
Mostazal,-70.7000000,-33.9833333,O'Higgins
Machali,-70.6511111,-34.1825000,O'Higgins
Graneros,-70.7266667,-34.0647222,O'Higgins
Coltauco,-71.0857230,34.2872290,O'Higgins
Codegua,-70.6666667,-34.0333333,O'Higgins
Talca,-71.6666667,-35.4333333,Maule
Curepto,-72.0166667,-35.0833333,Maule
Maule,-71.7000000,-35.5333333,Maule
Pencahue,-71.8166667,-35.4000000,Maule
San Clemente,-71.4833333,-35.5500000,Maule
Cauquenes,-72.3500000,-35.9666667,Maule
Pelluhue,-72.6333333,-35.8333333,Maule
Hualañe,-71.8047222,-34.9766667,Maule
Molina,-71.2833333,-34.1166667,Maule
Romeral,-71.1333333,-34.9666667,Maule
Teno,-71.1833333,-34.8666667,Maule
Linares,-71.6000000,-35.8500000,Maule
Longavi,-71.6833333,-35.9666667,Maule
Retiro,-71.7666667,-36.0500000,Maule
Villa Alegre,-71.7500000,-35.6666667,Maule
Constitucion,-72.4166667,-35.3333333,Maule
Empedrado,-72.2833333,-35.6000000,Maule
Pelarco,-71.4500000,-35.3833333,Maule
Rio Claro,-71.2666667,-35.2833333,Maule
San Rafael,-71.5333333,-35.3166667,Maule
Curico,-71.2333333,-34.9833333,Maule
Chanco,-72.5333333,-35.7333333,Maule
Licanten,-72.0000000,-34.9833333,Maule
Rauco,-71.3166667,-34.9333333,Maule
Sagrada Familia,-71.3833333,-35.0000000,Maule
Vichuquen,-72.0000000,-34.8833333,Maule
Colbun,-71.4166667,-35.7000000,Maule
Parral,-71.8333333,-36.1500000,Maule
San Javier,-71.7500000,-35.6000000,Maule
Yerbas Buenas,-71.5833333,-35.7500000,Maule
Concepcion,-73.0500000,-36.8333333,Bio Bio
Chiguayante,-73.0166667,-36.9166667,Bio Bio
Hualqui,-72.9333333,-36.9666667,Bio Bio
Penco,-72.9833333,-36.7333333,Bio Bio
Santa Juana,-72.9333333,-37.1666667,Bio Bio
Tome,-72.9500000,-36.6166667,Bio Bio
Lebu,-73.6500000,-37.6166667,Bio Bio
Cañete,-73.3833333,-37.8000000,Bio Bio
Curanilahue,-73.3500000,-37.4666667,Bio Bio
Tirua,-73.5000000,-38.3333333,Bio Bio
Antuco,-71.6833333,-37.3333333,Bio Bio
Laja,-72.7000000,-37.2666667,Bio Bio
Nacimiento,-72.6666667,-37.5000000,Bio Bio
Quilaco,-71.9833333,-37.6666667,Bio Bio
San Rosendo,-72.7166667,-37.2666667,Bio Bio
Tucapel,-71.9500000,-37.2833333,Bio Bio
Alto Bio bio,-71.3166667,-38.0500000,Bio Bio
Bulnes,-72.3014290,-36.7419870,Bio Bio
Coelemu,-72.7000000,-36.4833333,Bio Bio
Chillan Viejo,-72.1333333,-36.6166667,Bio Bio
Ninhue,-72.4000000,-36.4000000,Bio Bio
Pemuco,-72.1000000,-36.9666667,Bio Bio
Portezuelo,-72.4333333,-36.5333333,Bio Bio
Quirihue,-72.5333333,-36.2833333,Bio Bio
Treguaco,-72.6666667,-36.4333333,Bio Bio
San Ignacio,-72.0333333,-36.8000000,Bio Bio
San Carlos,-71.9580556,-36.4247222,Bio Bio
Yungay,-72.0166667,-37.1166667,Bio Bio
San Nicolas,-72.2166667,-36.5000000,Bio Bio
San Fabian,-71.5500000,-36.5500000,Bio Bio
Ranquil,-72.5500000,-36.6500000,Bio Bio
Quillon,-72.4666667,-36.7333333,Bio Bio
Pinto,-71.9000000,-36.7000000,Bio Bio
Ñiquen,-71.9000000,-36.3000000,Bio Bio
El Carmen,-72.0323130,-36.8994440,Bio Bio
Coihueco,-71.8333333,-36.6166667,Bio Bio
Cobquecura,-72.7833333,-36.1333333,Bio Bio
Chillan,-72.1166667,-36.6000000,Bio Bio
Yumbel,-72.5333333,-37.1333333,Bio Bio
Santa Barbara,-72.0166667,-37.6666667,Bio Bio
Quilleco,-71.9666667,-37.4666667,Bio Bio
Negrete,-72.5166667,-37.5833333,Bio Bio
Mulchen,-72.2333333,-37.7166667,Bio Bio
Cabrero,-72.4000000,-37.0333333,Bio Bio
Los Angeles,-72.3500000,-37.4666667,Bio Bio
Los Alamos,-73.4666667,-37.6166667,Bio Bio
Contulmo,-73.2333333,-38.0000000,Bio Bio
Arauco,-73.3166667,-37.2500000,Bio Bio
Hualpen,-73.0833333,-36.7833333,Bio Bio
Talcahuano,-73.1166667,-36.7166667,Bio Bio
San Pedro de la Paz,-73.1166667,-36.8333333,Bio Bio
Lota,-73.1560560,-37.0870730,Bio Bio
Florida,-72.6666667,-36.8166667,Bio Bio
Coronel,-73.1333333,-37.0166667,Bio Bio
Temuco,-72.6666667,-38.7500000,Araucania
Cunco,-72.0333333,-38.9166667,Araucania
Freire,-72.6333333,-38.9500000,Araucania
Gorbea,-72.6833333,-39.1000000,Araucania
Loncoche,-72.6333333,-39.3666667,Araucania
Nueva Imperial,-72.9500000,-38.7333333,Araucania
Perquenco,-72.3833333,-38.4166667,Araucania
Pucon,-71.9666667,-39.2666667,Araucania
Teodoro Schmidt,-73.0500000,-38.9666667,Araucania
Vilcun,-72.3794444,-39.1183333,Araucania
Cholchol,-72.8500000,-38.6000000,Araucania
Collipulli,-72.4333333,-37.9500000,Araucania
Ercilla,-72.3833333,-38.0500000,Araucania
Los Sauces,-72.8333333,-37.9666667,Araucania
Puren,-73.0833333,-38.0166667,Araucania
Traiguen,-72.6833333,-38.2500000,Araucania
Carahue,-73.1666667,-38.7000000,Araucania
Curarrehue,-71.5833333,-39.3500000,Araucania
Galvarino,-72.7833333,-38.4000000,Araucania
Lautaro,-72.4350000,-38.5291667,Araucania
Padre Las Casas,-72.6000000,-38.7666667,Araucania
Pitrufquen,-72.6500000,-38.9833333,Araucania
Tolten,-73.2333333,-39.2166667,Araucania
Villarrica,-72.2166667,-39.2666667,Araucania
Angol,-72.7166667,-37.8000000,Araucania
Curacautin,-71.8833333,-38.4333333,Araucania
Lonquimay,-71.2333333,-38.4333333,Araucania
Lumaco,-72.9166667,-38.1500000,Araucania
Renaico,-72.5833333,-37.6666667,Araucania
Victoria,-72.3333333,-38.2166667,Araucania
Saavedra,-73.4000000,-38.7833333,Araucania
Melipeuco,-71.7000000,-38.8500000,Araucania
Valdivia,-73.2333333,-39.8000000,Los Rios
Corral,-73.4333333,-39.8666667,Los Rios
Lanco,-72.7666667,-39.4333333,Los Rios
Los Lagos,-72.8333333,-39.8500000,Los Rios
Mafil,-72.9500000,-39.6500000,Los Rios
Mariquina,-72.9666667,-39.5166667,Los Rios
Paillaco,-72.8833333,-40.0666667,Los Rios
Panguipulli,-72.3333333,-39.6333333,Los Rios
La Union,-73.0833333,-40.2833333,Los Rios
Futrono,-72.4000000,-40.1333333,Los Rios
Lago Ranco,-72.5000000,-40.3166667,Los Rios
Rio Bueno,-72.9666667,-40.3166667,Los Rios
Puerto Montt,-72.9333333,-41.4666667,Los Lagos
Cochamo,-72.3166667,-41.5000000,Los Lagos
Frutillar,-73.1000000,-41.1166667,Los Lagos
Puerto Varas,-72.9833333,-41.3166667,Los Lagos
Ancud,-73.8333333,-41.8666667,Los Lagos
Curaco de Velez,-73.5833333,-42.4333333,Los Lagos
Puqueldon,-73.6333333,-42.5833333,Los Lagos
Quellon,-73.6000000,-43.1000000,Los Lagos
Quinchao,-73.4166667,-42.5333333,Los Lagos
Puerto Octay,-72.9000000,-40.9666667,Los Lagos
Puyehue,-72.6166667,-40.6666667,Los Lagos
Hualaihue,-72.6833333,-42.0166667,Los Lagos
Chaiten,-72.7088889,-42.9194444,Los Lagos
San Juan de la Costa,-73.4000000,-40.5166667,Los Lagos
Llanquihue,-73.0166667,-41.2500000,Los Lagos
Calbuco,-73.1333333,-41.7666667,Los Lagos
Fresia,-73.4500000,-41.1500000,Los Lagos
Los Muermos,-73.4833333,-41.4000000,Los Lagos
Maullin,-73.6000000,-41.6166667,Los Lagos
Castro,-73.8000000,-42.4666667,Los Lagos
Queilen,-73.4666667,-42.8666667,Los Lagos
Quemchi,-73.5166667,-42.1333333,Los Lagos
Osorno,-73.1500000,-40.5666667,Los Lagos
Purranque,-73.1666667,-40.9166667,Los Lagos
Rio Negro,-73.2333333,-40.7833333,Los Lagos
San Pablo,-73.0166667,-40.4000000,Los Lagos
Futaleufu,-71.8500000,-43.1666667,Los Lagos
Palena,-71.8000000,-43.6166667,Los Lagos
Dalcahue,-73.7000000,-42.3666667,Los Lagos
Chonchi,-73.8166667,-42.6166667,Los Lagos
Coyhaique,-72.0666667,-45.5666667,Aysen
Aisen,-72.7000000,-45.4000000,Aysen
Guaitecas,-73.7333333,-43.8833333,Aysen
O'Higgins,-72.5666667,-48.4666667,Aysen
Chile Chico,-71.7333333,-46.5500000,Aysen
Lago Verde,-71.8333333,-44.2333333,Aysen
Cisnes,-72.7000000,-44.7500000,Aysen
Cochrane,-72.5500000,-47.2666667,Aysen
Tortel,-73.5666667,-47.8333333,Aysen
Rio Ibañez,-71.9333333,-46.3000000,Aysen
Punta Arenas,-70.9336111,-53.1669444,Magallanes
Rio Verde,-71.4833333,-52.6500000,Magallanes
Cabo de Hornos,-67.6166667,-54.9333333,Magallanes
Porvenir,-70.3666667,-53.3000000,Magallanes
Timaukel,-69.9000000,-53.6666667,Magallanes
Torres del Paine,-72.3500000,-51.2666667,Magallanes
Natales,-72.5166667,-51.7333333,Magallanes
Puerto Natales,-72.5166667,-51.7333333,Magallanes
Primavera,-69.2500000,-52.7166667,Magallanes
Antártica,-71.5000000,-75.0000000,Magallanes
San Gregorio,-69.6833333,-52.3166667,Magallanes
Laguna Blanca,-71.9166667,-52.2500000,Magallanes
Alhue,-34.0278,-71.1164,Metropolitana
